track_id,track_name,artist,album_name,popularity,release_date
2plbrEY59IikOBgBGLjaoe,Die With A Smile,Lady Gaga,Die With A Smile,96,2024-08-16
6dOtVTDdiauQNBQEDOtlAB,BIRDS OF A FEATHER,Billie Eilish,HIT ME HARD AND SOFT,93,2024-05-17
0WbMK4wrZ1wFSty9F7FCgu,"Good Luck, Babe!",Chappell Roan,"Good Luck, Babe!",89,2024-04-05
2262bWmqomIaJXwCRHr13j,Sailor Song,Gigi Perez,Sailor Song,89,2024-07-26
3QaPy1KgI7nu9FJEQUgn6h,WILDFLOWER,Billie Eilish,HIT ME HARD AND SOFT,90,2024-05-17
3siwsiaEoU4Kuuc9WKMUy5,No One Noticed,The Marías,Submarine,85,2024-05-31
1Es7AUAhQvapIcoh3qMKDL,Timeless (feat. Playboi Carti),The Weeknd,Timeless,87,2024-09-27
5G2f63n7IPVPPjfNIGih7Q,Taste,Sabrina Carpenter,Short n' Sweet,86,2024-08-23
4iZ4pt7kvcaH6Yo8UoZ4s2,Snooze,SZA,SOS,84,2022-12-09
1k2pQc5i348DCHwbn5KTdc,Pink Pony Club,Chappell Roan,The Rise and Fall of a Midwest Princess,83,2023-09-22
2QjOHCTQ1Jl3zawyYOpxh6,Sweater Weather,The Neighbourhood,I Love You.,85,2013-04-22
0mflMxspEfB0VbI1kyLiAv,Stick Season,Noah Kahan,Stick Season,82,2022-10-14
1UHS8Rf6h5Ar3CDWRd3wjF,Bed Chem,Sabrina Carpenter,Short n' Sweet,83,2024-08-23
3t6gUcGYLrUuqwpXjOFWQc,I Never Lie,Zach Top,Cold Beer & Country Music,77,2024-04-05
3ESSGgWzRf1xvP7G5hHMhB,Again,Fetty Wap,Fetty Wap (Deluxe),77,2015-09-25
7BRD7x5pt8Lqa1eGYC4dzj,CHIHIRO,Billie Eilish,HIT ME HARD AND SOFT,85,2024-05-17
3xkHsmpQCBMytMJNiDf3Ii,Beautiful Things,Benson Boone,Fireworks & Rollerblades,85,2024-04-05
6393yGahSJ9slVdOwSxOVR,Pink Pony Club,Chappell Roan,The Rise and Fall of a Midwest Princess,81,2023-09-21
3SKH53SPQbEnZR4cJPVaz2,Messy,Lola Young,Messy,86,2024-05-30
7FOgcfdz9Nx5V9lCNXdBYv,Red Wine Supernova,Chappell Roan,The Rise and Fall of a Midwest Princess,80,2023-09-22
5IZXB5IKAD2qlvTPJYDCFB,I Had Some Help (Feat. Morgan Wallen),Post Malone,F-1 Trillion,80,2024-08-15
2HRqTpkrJO5ggZyyK6NPWz,Espresso,Sabrina Carpenter,Short n' Sweet,84,2024-08-23
2FQrifJ1N335Ljm3TjTVVf,A Bar Song (Tipsy),Shaboozey,A Bar Song (Tipsy),82,2024-04-12
1CS7Sd1u5tWkstBhpssyjP,Take Me to Church,Hozier,Hozier (Expanded Edition),76,2014-09-19
3EO58D1YpHnTvBy68gK8HE,Wind Up Missin’ You,Tucker Wetmore,Waves On A Sunset,77,2024-10-04
51eSHglvG1RJXtL3qI5trr,Slow It Down,Benson Boone,Fireworks & Rollerblades,82,2024-04-05
6Qyc6fS4DsZjB2mRW9DsQs,Iris,The Goo Goo Dolls,Dizzy up the Girl,84,1998
41P6Tnd8KIHqON0QIydx6a,the perfect pair,beabadoobee,Beatopia,80,2022-07-15
21B4gaTWnTkuSh77iWEXdS,Juno,Sabrina Carpenter,Short n' Sweet,81,2024-08-23
3AJwUDP919kvQ9QcozQPxg,Yellow,Coldplay,Parachutes,86,2000-07-10
7CyPwkp0oE8Ro9Dd5CUDjW,"One Of The Girls (with JENNIE, Lily Rose Depp)",The Weeknd,The Idol Episode 4 (Music from the HBO Original Series),87,2023-06-23
7BqBn9nzAq8spo5e7cZ0dJ,Just the Way You Are,Bruno Mars,Doo-Wops & Hooligans,83,2010-05-11
1Qrg8KqiBpW07V7PNxwwwL,Kill Bill,SZA,SOS,82,2022-12-08
35ISBknsCeZQtq66xABI9g,Messy,Lola Young,This Wasn't Meant For You Anyway,84,2024-06-21
3w3y8KPTfNeOKPiqUTakBh,Locked out of Heaven,Bruno Mars,Unorthodox Jukebox,85,2012-12-07
0KKkJNfGyhkQ5aFogxQAPU,That's What I Like,Bruno Mars,24K Magic,84,2016-11-17
